second,queries,ok,fail,fail_pct,wan_queries,wan_fail_pct,lan_queries,lan_fail_pct,top_errors
305,5,5,0,0.0,5,0.0,0,0,-
306,5,5,0,0.0,5,0.0,0,0,-
307,5,5,0,0.0,5,0.0,0,0,-
308,5,5,0,0.0,5,0.0,0,0,-
309,5,5,0,0.0,5,0.0,0,0,-
310,5,5,0,0.0,5,0.0,0,0,-
311,5,5,0,0.0,5,0.0,0,0,-
312,5,5,0,0.0,4,0.0,1,0.0,-
313,5,5,0,0.0,5,0.0,0,0,-
314,5,5,0,0.0,5,0.0,0,0,-
315,5,5,0,0.0,5,0.0,0,0,-
316,5,5,0,0.0,5,0.0,0,0,-
317,5,5,0,0.0,5,0.0,0,0,-
318,5,5,0,0.0,5,0.0,0,0,-
319,5,5,0,0.0,5,0.0,0,0,-
320,5,5,0,0.0,5,0.0,0,0,-
321,5,5,0,0.0,5,0.0,0,0,-
322,5,5,0,0.0,5,0.0,0,0,-
323,5,5,0,0.0,5,0.0,0,0,-
324,5,5,0,0.0,4,0.0,1,0.0,-
325,5,5,0,0.0,5,0.0,0,0,-
326,5,5,0,0.0,5,0.0,0,0,-
327,5,4,1,20.0,5,20.0,0,0,timeout:1
328,5,5,0,0.0,5,0.0,0,0,-
329,5,5,0,0.0,5,0.0,0,0,-
330,5,5,0,0.0,4,0.0,1,0.0,-
331,5,4,1,20.0,5,20.0,0,0,timeout:1
332,5,4,1,20.0,5,20.0,0,0,timeout:1
333,5,5,0,0.0,5,0.0,0,0,-
334,5,5,0,0.0,5,0.0,0,0,-
335,5,4,1,20.0,5,20.0,0,0,timeout:1
336,5,5,0,0.0,5,0.0,0,0,-
337,5,5,0,0.0,5,0.0,0,0,-
338,5,4,1,20.0,5,20.0,0,0,timeout:1
339,5,5,0,0.0,5,0.0,0,0,-
340,5,5,0,0.0,5,0.0,0,0,-
341,4,4,0,0.0,4,0.0,0,0,-
342,5,5,0,0.0,4,0.0,1,0.0,-
343,5,5,0,0.0,5,0.0,0,0,-
344,5,5,0,0.0,4,0.0,1,0.0,-
345,5,5,0,0.0,5,0.0,0,0,-
346,5,5,0,0.0,5,0.0,0,0,-
347,5,4,1,20.0,5,20.0,0,0,timeout:1
348,5,5,0,0.0,5,0.0,0,0,-
349,5,5,0,0.0,5,0.0,0,0,-
350,5,5,0,0.0,5,0.0,0,0,-
351,5,5,0,0.0,5,0.0,0,0,-
352,5,5,0,0.0,5,0.0,0,0,-
353,5,5,0,0.0,5,0.0,0,0,-
354,5,5,0,0.0,5,0.0,0,0,-
355,5,5,0,0.0,4,0.0,1,0.0,-
356,5,5,0,0.0,5,0.0,0,0,-
357,5,5,0,0.0,5,0.0,0,0,-
358,5,5,0,0.0,5,0.0,0,0,-
359,5,5,0,0.0,5,0.0,0,0,-
360,5,5,0,0.0,5,0.0,0,0,-
361,5,5,0,0.0,5,0.0,0,0,-
362,5,5,0,0.0,4,0.0,1,0.0,-
363,5,4,1,20.0,5,20.0,0,0,SERVFAIL:1
364,5,5,0,0.0,5,0.0,0,0,-
365,5,5,0,0.0,5,0.0,0,0,-
366,5,5,0,0.0,5,0.0,0,0,-
367,5,5,0,0.0,5,0.0,0,0,-
368,5,4,1,20.0,5,20.0,0,0,timeout:1
369,5,5,0,0.0,5,0.0,0,0,-
370,5,5,0,0.0,5,0.0,0,0,-
371,5,4,1,20.0,5,20.0,0,0,timeout:1
372,5,5,0,0.0,5,0.0,0,0,-
373,5,5,0,0.0,5,0.0,0,0,-
374,5,5,0,0.0,5,0.0,0,0,-
375,5,5,0,0.0,5,0.0,0,0,-
376,5,5,0,0.0,4,0.0,1,0.0,-
377,5,5,0,0.0,5,0.0,0,0,-
378,5,5,0,0.0,5,0.0,0,0,-
379,5,5,0,0.0,5,0.0,0,0,-
380,5,5,0,0.0,5,0.0,0,0,-
381,5,5,0,0.0,5,0.0,0,0,-
382,5,5,0,0.0,5,0.0,0,0,-
383,5,5,0,0.0,5,0.0,0,0,-
384,5,5,0,0.0,5,0.0,0,0,-
385,5,5,0,0.0,4,0.0,1,0.0,-
386,5,5,0,0.0,5,0.0,0,0,-
387,5,5,0,0.0,5,0.0,0,0,-
388,5,5,0,0.0,5,0.0,0,0,-
389,5,5,0,0.0,5,0.0,0,0,-
390,5,5,0,0.0,5,0.0,0,0,-
391,5,5,0,0.0,5,0.0,0,0,-
392,5,5,0,0.0,5,0.0,0,0,-
393,5,5,0,0.0,4,0.0,1,0.0,-
394,5,5,0,0.0,5,0.0,0,0,-
395,5,5,0,0.0,5,0.0,0,0,-
396,5,5,0,0.0,5,0.0,0,0,-
397,5,5,0,0.0,5,0.0,0,0,-
398,5,5,0,0.0,5,0.0,0,0,-
399,5,5,0,0.0,5,0.0,0,0,-
400,5,5,0,0.0,4,0.0,1,0.0,-
401,5,5,0,0.0,5,0.0,0,0,-
